name,region,address,workspace,hours,has_food,type_of_food,popular_drinks,has_outlets,parking,has_restroom
Dulce Dos,Arts District,"777 S Alameda St Unit 150 Los Angeles, CA 90021",GOOD,"[[""Monday"", [""0800"", ""1600""]], [""Tuesday"", [""0800"", ""1600""]], [""Wednesday"", [""0800"", ""1600""]], [""Thursday"", [""0800"", ""1600""]], [""Friday"", [""0800"", ""1600""]], [""Saturday"", [""0800"", ""1600""]], [""Sunday"", [""0000"", ""0000""]]]",TRUE,"[true, false]","[""Blueberry Matcha Latte"", ""Vietnamese Iced Coffee"", ""Iced Chai Right""]",TRUE,Garage,TRUE
Groundwork Coffee,Arts District,"811 Traction Ave Los Angeles, CA 90013",GOOD,"[[""Monday"", [""0600"", ""1600""]], [""Tuesday"", [""0600"", ""1600""]], [""Wednesday"", [""0600"", ""1600""]], [""Thursday"", [""0600"", ""1600""]], [""Friday"", [""0600"", ""1600""]], [""Saturday"", [""0600"", ""1600""]], [""Sunday"", [""0600"", ""1600""]]]",TRUE,"[true, true]","[""Honey Matcha Latte"", ""Espresso"", ""Vietnamese Coffee""]",TRUE,Street,TRUE
Blue Bottle Coffee,Arts District,"582 Mateo St Los Angeles, CA 90013",LIMITED,"[[""Monday"", [""0630"", ""1800""]], [""Tuesday"", [""0630"", ""1800""]], [""Wednesday"", [""0630"", ""1800""]], [""Thursday"", [""0630"", ""1800""]], [""Friday"", [""0630"", ""1800""]], [""Saturday"", [""0700"", ""1800""]], [""Sunday"", [""0700"", ""1800""]]]",TRUE,"[true, false]","[""New Orleans Iced Coffee"", ""Iced Latte"", ""Almond Milk Latte""]",TRUE,Lot,TRUE
Stumptown Coffee Roasters,Arts District,"806 S Santa Fe Ave Los Angeles, CA 90021",LIMITED,"[[""Monday"", [""0630"", ""1700""]], [""Tuesday"", [""0630"", ""1700""]], [""Wednesday"", [""0630"", ""1700""]], [""Thursday"", [""0630"", ""1700""]], [""Friday"", [""0630"", ""1700""]], [""Saturday"", [""0700"", ""1700""]], [""Sunday"", [""0700"", ""1700""]]]",TRUE,"[true, false]","[""Vanilla Latte"", ""Nitro Iced Coffee"", ""Hair Bender""]",TRUE,Street,TRUE
Matte Black Coffee,Downtown,"1001 S Bdwy Los Angeles, CA 90015",LIMITED,"[[""Monday"", [""0900"", ""1700""]], [""Tuesday"", [""0900"", ""1500""]], [""Wednesday"", [""0900"", ""1500""]], [""Thursday"", [""0900"", ""1500""]], [""Friday"", [""0900"", ""1500""]], [""Saturday"", [""0900"", ""1500""]], [""Sunday"", [""0900"", ""1700""]]]",FALSE,"[false, false]","[""French Toast Cold Brew"", ""White Chocolate Lavender Latte""]",FALSE,Garage,FALSE
Blue Bottle Coffee,Downtown,"300 South Broadway Los Angeles, CA 90013",GOOD,"[[""Monday"", [""0700"", ""1700""]], [""Tuesday"", [""0700"", ""1700""]], [""Wednesday"", [""0700"", ""1700""]], [""Thursday"", [""0700"", ""1700""]], [""Friday"", [""0700"", ""1700""]], [""Saturday"", [""0700"", ""1700""]], [""Sunday"", [""0700"", ""1700""]]]",TRUE,"[true, false]","[""New Orleans Cold Brew"", ""Vietnamese Iced Coffee""]",FALSE,Street,FALSE
Verve Coffee Roasters,Downtown,"833 S Spring St Los Angeles, CA 90014",LIMITED,"[[""Monday"", [""0700"", ""1600""]], [""Tuesday"", [""0700"", ""1600""]], [""Wednesday"", [""0700"", ""1600""]], [""Thursday"", [""0700"", ""1600""]], [""Friday"", [""0700"", ""1700""]], [""Saturday"", [""0700"", ""1700""]], [""Sunday"", [""0700"", ""1700""]]]",TRUE,"[true, false]","[""Nitro Cold Brew"", ""Iced Coffee"", ""Iced Latte""]",TRUE,Street,TRUE
Tilt Coffee Bar,Downtown,"334 S Main St Kiosk 1 Los Angeles, CA 90013",LIMITED,"[[""Monday"", [""0700"", ""1800""]], [""Tuesday"", [""0700"", ""1800""]], [""Wednesday"", [""0700"", ""1800""]], [""Thursday"", [""0700"", ""1800""]], [""Friday"", [""0700"", ""1800""]], [""Saturday"", [""0700"", ""1800""]], [""Sunday"", [""0900"", ""1800""]]]",FALSE,"[false, false]","[""Iced Cloud Latte"", ""Cloud Latte"", ""Cloud Mocha""]",FALSE,Street,FALSE
Coffee for Sasquatch,WeHo,"7020 Melrose Ave Los Angeles, CA 90038",GOOD,"[[""Monday"", [""0700"", ""1700""]], [""Tuesday"", [""0700"", ""1700""]], [""Wednesday"", [""0700"", ""1700""]], [""Thursday"", [""0700"", ""1700""]], [""Friday"", [""0700"", ""1700""]], [""Saturday"", [""0800"", ""1700""]], [""Sunday"", [""0800"", ""1700""]]]",TRUE,"[true, false]","[""Vanilla Latte"", ""Cold Brew"", ""Cryptid Latte""]",TRUE,Street,TRUE
Verve Coffee Roasters,WeHo,"8925 Melrose Ave West Hollywood, CA 90069",GOOD,"[[""Monday"", [""0700"", ""1800""]], [""Tuesday"", [""0700"", ""1800""]], [""Wednesday"", [""0700"", ""1800""]], [""Thursday"", [""0700"", ""1800""]], [""Friday"", [""0700"", ""1800""]], [""Saturday"", [""0700"", ""1800""]], [""Sunday"", [""0700"", ""1800""]]]",TRUE,"[true, true]","[""Almond Milk Latte"", ""Iced Tea"", ""Nitro Cold Brew""]",TRUE,Street,TRUE
Alfred Coffee,WeHo,"8428 Melrose Pl Los Angeles, CA 90069",LIMITED,"[[""Monday"", [""0630"", ""1900""]], [""Tuesday"", [""0630"", ""1900""]], [""Wednesday"", [""0630"", ""1900""]], [""Thursday"", [""0630"", ""1900""]], [""Friday"", [""0630"", ""1900""]], [""Saturday"", [""0630"", ""1900""]], [""Sunday"", [""0630"", ""1900""]]]",TRUE,"[true, false]","[""Iced Vanilla Latte"", ""Coconut Milk Latte"", ""Waffle Cup Espresso""]",FALSE,Street,FALSE
La Ciel Pink,WeHo,"7266 Melrose Ave Ste 1 West Hollywood, CA 90046",LIMITED,"[[""Monday"", [""1000"", ""2200""]], [""Tuesday"", [""1000"", ""2200""]], [""Wednesday"", [""1000"", ""2200""]], [""Thursday"", [""1000"", ""2200""]], [""Friday"", [""1000"", ""2200""]], [""Saturday"", [""1000"", ""2200""]], [""Sunday"", [""1000"", ""2200""]]]",TRUE,"[false, false]","[""Pink Cloud Latte"", ""Honey Lavender Latte"", ""Flower Peach""]",FALSE,Street,FALSE
Coffee Coffee,WeHo,"5630 Melrose Ave Los Angeles, CA 90038",GOOD,"[[""Monday"", [""0800"", ""1600""]], [""Tuesday"", [""0800"", ""1600""]], [""Wednesday"", [""0800"", ""1600""]], [""Thursday"", [""0800"", ""1600""]], [""Friday"", [""0800"", ""1600""]], [""Saturday"", [""0800"", ""1600""]], [""Sunday"", [""0800"", ""1600""]]]",TRUE,"[true, true]","[""Pumpkin Spice Latte"", ""Cappuccino"", ""Turmeric Chai Latte""]",FALSE,Lot,TRUE
Cafe Joanne,WeHo,"7201 Melrose Ave Ste C Los Angeles, CA 90046",GOOD,"[[""Monday"", [""0900"", ""1900""]], [""Tuesday"", [""0900"", ""1900""]], [""Wednesday"", [""0900"", ""1900""]], [""Thursday"", [""0900"", ""1900""]], [""Friday"", [""0900"", ""1900""]], [""Saturday"", [""0900"", ""1900""]], [""Sunday"", [""0900"", ""1900""]]]",TRUE,"[true, true]","[""Americano"", ""Matcha Latte""]",TRUE,Street,TRUE
Alibi Coffee,WeHo,"5770 Melrose Ave Los Angeles, CA 90038",GOOD,"[[""Monday"", [""0800"", ""1600""]], [""Tuesday"", [""0800"", ""1600""]], [""Wednesday"", [""0800"", ""1600""]], [""Thursday"", [""0800"", ""1600""]], [""Friday"", [""0800"", ""1600""]], [""Saturday"", [""0800"", ""1600""]], [""Sunday"", [""0800"", ""1600""]]]",TRUE,"[true, false]","[""Frenz Cream Latte"", ""Iced Strawberry Latte"", ""Grapefruit Ade""]",FALSE,Lot,TRUE
Stereoscope,Silverlake/Echo Park,"1501 Sunset Blvd Ste B Los Angeles, CA 90026",GOOD,"[[""Monday"", [""0600"", ""1900""]], [""Tuesday"", [""0600"", ""1900""]], [""Wednesday"", [""0600"", ""1900""]], [""Thursday"", [""0600"", ""1900""]], [""Friday"", [""0600"", ""1900""]], [""Saturday"", [""0600"", ""1900""]], [""Sunday"", [""0700"", ""1900""]]]",TRUE,"[true, false]","[""Madagascar Vanilla Latte"", ""Iced Matcha Latte"", ""Iced Vanilla Latte""]",TRUE,Lot,TRUE
Tierra Mia Coffee,Silverlake/Echo Park,"1202 N Alvarado St Echo Park Cafe Los Angeles, CA 90026",GOOD,"[[""Monday"", [""0630"", ""2300""]], [""Tuesday"", [""0630"", ""2300""]], [""Wednesday"", [""0630"", ""2300""]], [""Thursday"", [""0630"", ""2300""]], [""Friday"", [""0630"", ""2300""]], [""Saturday"", [""0630"", ""2300""]], [""Sunday"", [""0630"", ""2300""]]]",TRUE,"[true, false]","[""Horchata Latte"", ""Cubano con Leche"", ""Coco Loco Latte""]",TRUE,Street,TRUE
Chimney Coffee House,Chinatown/Lincoln Heights,"1100 N Main St Ste B Los Angeles, CA 90012",GOOD,"[[""Monday"", [""0700"", ""1600""]], [""Tuesday"", [""0700"", ""1600""]], [""Wednesday"", [""0700"", ""1600""]], [""Thursday"", [""0700"", ""1600""]], [""Friday"", [""0700"", ""1600""]], [""Saturday"", [""0800"", ""1600""]], [""Sunday"", [""0800"", ""1600""]]]",FALSE,"[true, true]","[""Matcha Latte"", ""Bangkok Iced Coffee"", ""Rose Thai Tea""]",TRUE,Lot,FALSE
Highly Likely,Culver City/Baldwin Hills,"4310 W Jefferson Blvd Los Angeles, CA 90016",LIMITED,"[[""Monday"", [""0800"", ""2000""]], [""Tuesday"", [""0800"", ""2000""]], [""Wednesday"", [""0800"", ""2000""]], [""Thursday"", [""0800"", ""2000""]], [""Friday"", [""0800"", ""2000""]], [""Saturday"", [""0800"", ""2000""]], [""Sunday"", [""0800"", ""1900""]]]",TRUE,"[true, true]","[""Lavender Honey Matcha Latte"", ""Iced Vanilla Latte""]",TRUE,Street,TRUE
Intelligentsia,Venice/Santa Monica,"1331 Abbot Kinney Blvd Venice, CA 90291",GOOD,"[[""Monday"", [""0600"", ""1700""]], [""Tuesday"", [""0600"", ""1700""]], [""Wednesday"", [""0600"", ""1700""]], [""Thursday"", [""0600"", ""1700""]], [""Friday"", [""0600"", ""1700""]], [""Saturday"", [""0600"", ""1900""]], [""Sunday"", [""0600"", ""1900""]]]",TRUE,"[true, false]","[""Cold Brew"", ""Soy Latte"", ""Iced Coffee""]",TRUE,Street,TRUE
La La Land Kind Cafe,Venice/Santa Monica,"1426 Montana Ave Santa Monica, CA 90403",LIMITED,"[[""Monday"", [""0630"", ""1900""]], [""Tuesday"", [""0630"", ""1900""]], [""Wednesday"", [""0630"", ""1900""]], [""Thursday"", [""0630"", ""1900""]], [""Friday"", [""0630"", ""1900""]], [""Saturday"", [""0630"", ""1900""]], [""Sunday"", [""0630"", ""1900""]]]",TRUE,"[true, false]","[""Strawberry Fields Matcha Latte"", ""La La Matcha"", ""Perfect Latte""]",TRUE,Lot,TRUE
Blue Bottle Coffee,Venice/Santa Monica,"1103 Abbot Kinney Blvd, Venice, CA 90291",GOOD,"[[""Monday"", [""0600"", ""1800""]], [""Tuesday"", [""0600"", ""1800""]], [""Wednesday"", [""0600"", ""1800""]], [""Thursday"", [""0600"", ""1800""]], [""Friday"", [""0600"", ""1800""]], [""Saturday"", [""0600"", ""1800""]], [""Sunday"", [""0600"", ""1800""]]]",TRUE,"[true, false]","[""Iced Almond Milk Latte"", ""Macchiato"", ""Cafe Latte""]",FALSE,Street,TRUE
